# Usage:
# link = { eu4 = eu4religion ck3 = ck3faith }
# multiple ck3 entires are allowed (and encouraged), multiple eu4 are not.

# Akom  
link = { eu4 = shamanism ck3 = akom_pagan }
link = { eu4 = west_african_pagan_reformed ck3 = akom_reformed }
# Baltic  
link = { eu4 = baltic_pagan ck3 = baltic_pagan  }
link = { eu4 = baltic_pagan_reformed ck3 = baltic_reformed }
# Bön  
link = { eu4 = bon_reformed ck3 = bon  }
link = { eu4 = bon ck3 = old_bon }
# Buddhism  
link = { eu4 = buddhism ck3 = theravada }
link = { eu4 = buddhism ck3 = ari }
link = { eu4 = mahayana ck3 = mahayana }
link = { eu4 = vajrayana ck3 = vajrayana }
link = { eu4 = vajrayana ck3 = lamaism }
# Christianity  
link = { eu4 = catholic ck3 = catholic }
link = { eu4 = catholic ck3 = conversos }
link = { eu4 = catholic ck3 = insular_celtic }
link = { eu4 = orthodox ck3 = orthodox }
link = { eu4 = coptic ck3 = coptic }
link = { eu4 = coptic ck3 = armenian_apostolic }
link = { eu4 = cathar ck3 = cathar }
link = { eu4 = waldensian ck3 = waldensian }
link = { eu4 = lollard ck3 = lollard }
link = { eu4 = iconoclast ck3 = iconoclast }
link = { eu4 = bogomilist ck3 = bogomilist }
link = { eu4 = paulician ck3 = paulician }
link = { eu4 = nestorian ck3 = nestorian }
link = { eu4 = messalian ck3 = messalian }
link = { eu4 = adamites ck3 = adamites }
link = { eu4 = bosnian_church ck3 = bosnian_church }
# Tani  
link = { eu4 = animism ck3 = donyipoloism }
link = { eu4 = animism ck3 = sedism }
# Dualism  
link = { eu4 = manichean ck3 = manichean }
link = { eu4 = mandeaism ck3 = mandeaism }
link = { eu4 = mandeaism ck3 = sabianism }
link = { eu4 = valentinianism ck3 = valentinianism }
link = { eu4 = sethianism ck3 = sethianism }
link = { eu4 = gnostic ck3 = priscillianism }
link = { eu4 = gnostic ck3 = cainitism }
# Finno-Ugric  
link = { eu4 = finnish_pagan ck3 = finnish_pagan }
link = { eu4 = finnish_reformed ck3 = finnish_reformed }
# Germanic  
link = { eu4 = norse_pagan ck3 = norse_pagan }
link = { eu4 = norse_reformed ck3 = norse_reformed }
# Hellenism  
link = { eu4 = hellenic_pagan ck3 = hellenic_pagan }
# Hinduism  
link = { eu4 = hinduism ck3 = vaishnavism }
link = { eu4 = hinduism ck3 = advaitism }
link = { eu4 = hinduism ck3 = shaivism }
link = { eu4 = hinduism ck3 = srikula_shaktism }
link = { eu4 = hinduism ck3 = kalikula_shaktism }
link = { eu4 = hinduism ck3 = smartism }
link = { eu4 = hinduism ck3 = krishnaism }
# Islam  
link = { eu4 = sunni ck3 = ashari }
link = { eu4 = sunni ck3 = muwalladi }
link = { eu4 = sunni ck3 = maturidi }
link = { eu4 = sunni ck3 = masmudi }
link = { eu4 = mutazila ck3 = mutazila }
link = { eu4 = quranist ck3 = quranist }
link = { eu4 = qarmatian ck3 = qarmatian }
link = { eu4 = shia ck3 = ismaili }
link = { eu4 = shia ck3 = nizari }
link = { eu4 = shia ck3 = zayidi }
link = { eu4 = shia ck3 = imami }
link = { eu4 = shia ck3 = ghulat }
link = { eu4 = shia ck3 = alevi }
link = { eu4 = alawite ck3 = alawite }
link = { eu4 = druze ck3 = druze }
link = { eu4 = ibadi ck3 = ibadi }
link = { eu4 = kharijite ck3 = azariqa }
link = { eu4 = kharijite ck3 = najdat }
link = { eu4 = kharijite ck3 = sufri }
# Jainism  
link = { eu4 = jain ck3 = digambara }
link = { eu4 = jain ck3 = svetambara }
link = { eu4 = jain ck3 = yapaniya }
# Judaism  
link = { eu4 = jewish ck3 = rabbinism }
link = { eu4 = jewish ck3 = haymanot }
link = { eu4 = jewish ck3 = malabarism }
link = { eu4 = jewish ck3 = kabarism }
link = { eu4 = karaite_faith ck3 = karaism }
link = { eu4 = samaritan_faith ck3 = samaritan }
# Kushitism  
link = { eu4 = kushitism_pagan ck3 = kushitism_pagan }
link = { eu4 = kushitism_pagan_reformed ck3 = kushitism_reformed }
# Magyar  
link = { eu4 = tengri_pagan ck3 = magyar_pagan }
link = { eu4 = tengri_pagan_reformed ck3 = magyar_reformed }
# Mundhum  
link = { eu4 = animism ck3 = kiratism }
link = { eu4 = animism ck3 = yumaism }
# Paganism  
link = { eu4 = pagan_religion ck3 = pagan }
# Qiangic  
link = { eu4 = confucianism ck3 = rrmeaism }
link = { eu4 = animism ck3 = melieism }
# Slavic  
link = { eu4 = slavic_pagan ck3 = slavic_pagan }
link = { eu4 = slavic_pagan_reformed ck3 = slavic_reformed }
# Taoism  
link = { eu4 = confucianism ck3 = zhengyi }
link = { eu4 = confucianism ck3 = shangqing }
link = { eu4 = confucianism ck3 = quanzhen }
# Tengrism  
link = { eu4 = tengri_pagan ck3 = tengri_pagan }
link = { eu4 = tengri_pagan_reformed ck3 = tengri_reformed }
# Waaqism  
link = { eu4 = shamanism ck3 = waaqism_pagan }
link = { eu4 = west_african_pagan_reformed ck3 = waaqism_reformed }
# West African  
link = { eu4 = shamanism ck3 = west_african_pagan }
link = { eu4 = west_african_pagan_reformed ck3 = west_african_reformed }
link = { eu4 = shamanism ck3 = west_african_bidu_pagan }
link = { eu4 = west_african_pagan_reformed ck3 = west_african_bidu_reformed }
# West African Bori  
